n_features,features,accuracy,auc,spd,di,eod,aod
2,"['priors_count', 'age_cat']",0.634469696969697,0.7050406193871637,-0.2072138387927862,0.5901480223246784,-0.24220183486238533,0.1836041349344102
3,"['priors_count', 'age', 'juv_other_count']",0.6666666666666666,0.7130349179153634,-0.19298245614035087,0.5567765567765568,-0.2080949811117107,0.160688417196782
5,"['priors_count', 'age', 'c_charge_degree', 'juv_other_count', 'sex']",0.6496212121212122,0.7068493249299014,-0.2246350141086983,0.5397184514831574,-0.2358517719014211,0.1957894638142884
7,"['priors_count', 'age', 'age_cat', 'juv_other_count', 'c_charge_degree', 'juv_misd_count', 'sex']",0.6581439393939394,0.7078409634911437,-0.21126242178873755,0.5613856342333163,-0.23914373088685015,0.1819077727793324
9,"['priors_count', 'juv_other_count', 'juv_fel_count', 'sex', 'age', 'age_cat', 'c_charge_degree', 'days_b_screening_arrest', 'juv_misd_count']",0.6590909090909091,0.7119712910738132,-0.23027849343638818,0.5357407865446451,-0.24243568987227915,0.1993452580635527
