model,n_features,accuracy,precision,recall,f1,auc,fairness_statistical_parity_difference,fairness_disparate_impact,fairness_equal_opportunity_difference,fairness_predictive_equality_difference,fairness_average_odds_difference,fairness_equalized_odds_ratio,fairness_ppv_difference,fairness_npv_difference,fairness_treatment_equality,fairness_calibration_difference,group_0_n_samples,group_0_base_rate,group_0_positive_rate,group_0_tpr,group_0_fpr,group_0_ppv,group_0_npv,group_0_accuracy,group_0_auc,group_1_n_samples,group_1_base_rate,group_1_positive_rate,group_1_tpr,group_1_fpr,group_1_ppv,group_1_npv,group_1_accuracy,group_1_auc
logistic_regression,100,0.849624060150376,0.8756756756756757,0.8140703517587939,0.84375,0.9183919597989949,-0.5327234342012668,0.27490421455938696,-0.2579787234042553,-0.17307692307692307,0.2155278232405892,0.3076923076923077,-0.2162940379403795,0.25427350427350426,0.2272727272727273,0.03024532039918662,203,0.2315270935960591,0.2019704433497537,0.6170212765957447,0.07692307692307693,0.7073170731707317,0.8888888888888888,0.8522167487684729,0.8724768139661757,196,0.7755102040816326,0.7346938775510204,0.875,0.25,0.9236111111111112,0.6346153846153846,0.8469387755102041,0.8896531100478469
random_forest,100,0.8471177944862155,0.875,0.8090452261306532,0.8407310704960835,0.9058040201005024,-0.5276213933849402,0.27682662165420785,-0.307110862262038,-0.11480186480186481,0.2109563635319514,0.4387464387464387,-0.2785263516970834,0.21616585138597721,0.5714285714285714,0.02133831275338892,203,0.2315270935960591,0.2019704433497537,0.574468085106383,0.08974358974358974,0.6585365853658537,0.8765432098765432,0.8325123152709359,0.8368794326241135,196,0.7755102040816326,0.7295918367346939,0.881578947368421,0.20454545454545456,0.9370629370629371,0.660377358490566,0.8622448979591837,0.8920454545454545
gradient_boosting,100,0.8295739348370927,0.8502673796791443,0.7989949748743719,0.8238341968911918,0.9043718592964823,-0.4927867698803659,0.3149914404499878,-0.26609742441209405,-0.11188811188811187,0.18899276815010296,0.5076923076923078,-0.3203823620104841,0.2607990735379271,1.0444444444444445,0.011063954704257986,203,0.2315270935960591,0.22660098522167488,0.5957446808510638,0.11538461538461539,0.6086956521739131,0.8789808917197452,0.8177339901477833,0.835379159847245,196,0.7755102040816326,0.7193877551020408,0.8618421052631579,0.22727272727272727,0.9290780141843972,0.6181818181818182,0.8418367346938775,0.888157894736842
