n_features,features,accuracy,auc,spd,di,eod,aod
2,"['age', 'priors_count']",0.6609848484848485,0.714496280005615,-0.21702858544963807,0.5323817076394396,-0.2384421658571686,0.1867371704446718
3,"['age', 'priors_count', 'days_b_screening_arrest']",0.6751893939393939,0.7194724698819033,-0.22721138510612196,0.5137831451824626,-0.24196797985249147,0.1931525870948429
5,"['age', 'priors_count', 'days_b_screening_arrest', 'c_charge_degree', 'sex']",0.6553030303030303,0.7118993027935052,-0.2430376640902957,0.5223052809259705,-0.23961144090663788,0.21153030217790067
7,"['age', 'priors_count', 'days_b_screening_arrest', 'c_charge_degree', 'sex', 'juv_other_count', 'age_cat']",0.6590909090909091,0.7121386638255292,-0.23248681143417982,0.5267232767232768,-0.2332613779456737,0.20054960789175577
9,"['age', 'priors_count', 'days_b_screening_arrest', 'c_charge_degree', 'sex', 'juv_other_count', 'age_cat', 'juv_misd_count', 'juv_fel_count']",0.6590909090909091,0.7119712910738132,-0.23027849343638818,0.5357407865446451,-0.24243568987227915,0.1993452580635527
