model,n_features,ml_accuracy,ml_precision,ml_recall,ml_f1,ml_specificity,ml_balanced_accuracy,ml_auc_roc,ml_auc_pr,ml_avg_precision,fairness_spd,fairness_di,fairness_eod,fairness_ped,fairness_aod,fairness_eor,fairness_ppv_diff,fairness_npv_diff,fairness_treatment_equality,fairness_calibration_diff,group_0_n_samples,group_0_base_rate,group_0_positive_rate,group_0_tpr,group_0_fpr,group_0_tnr,group_0_fnr,group_0_ppv,group_0_npv,group_0_accuracy,group_0_auc,group_1_n_samples,group_1_base_rate,group_1_positive_rate,group_1_tpr,group_1_fpr,group_1_tnr,group_1_fnr,group_1_ppv,group_1_npv,group_1_accuracy,group_1_auc
logistic_regression,7,0.9510591306093765,0.9212317488198485,0.9702277719967626,0.945095168374817,0.936352346314202,0.9532900591554823,0.9798426417215631,0.9704135434636632,0.9679456909758519,-0.03989219347296763,0.9162683172689801,0.0174876450676823,0.005285789775297915,0.011386717421490108,0.9202269026896799,-0.02127295738758095,0.018637186146811757,0.320446234603343,0.0001950170210956231,38345,0.4052940409440605,0.43653670621984614,0.979859725886365,0.06626030520961235,0.9337396947903877,0.0201402741136349,0.9097317641436167,0.9855132833472183,0.9524318685617421,0.9788070122970918,41343,0.4609002733231744,0.47642889969281377,0.9623720808186828,0.06097451543431443,0.9390254845656856,0.03762791918131724,0.9310047215311976,0.9668760972004066,0.9497859371598578,0.9803656877557936
random_forest,7,0.9515108924806747,0.9224910640637889,0.9697941958607932,0.9455513908068652,0.937483367337887,0.9536387815993401,0.9801593847362965,0.9713042124065798,0.9688677340868602,-0.03920059702869555,0.9175189433071729,0.01792436326618696,0.006243229390241856,0.012083796328214408,0.9048324846155914,-0.022136662410715657,0.01899036888186234,0.33979046163920107,0.0017199773734932282,38345,0.4052940409440605,0.4360672838701265,0.9796666881153079,0.06560252587265392,0.9343974741273461,0.020333311884692104,0.9105316667663417,0.985386607473178,0.9527448167948885,0.9788261024719163,41343,0.4609002733231744,0.47526788089882205,0.9617423248491209,0.05935929648241206,0.940640703517588,0.038257675150879036,0.9326683291770573,0.9663962385913156,0.9503664465568537,0.9806576423840537
gradient_boosting,7,0.9515610882441522,0.9220818456468003,0.9704301075268817,0.9456383967552038,0.9370841834471747,0.9537571454870282,0.9802926239174932,0.9714549583034934,0.9690430503453209,-0.03971571049162209,0.916566736846792,0.017237113006587146,0.005879215658818819,0.011558164332702982,0.9106797908836081,-0.021832888681546758,0.018386518386835582,0.32432420302632575,0.00186436910004239,38345,0.4052940409440605,0.4363019950449863,0.9799240718100508,0.06582178565164007,0.9341782143483599,0.020075928189949167,0.9102809324566646,0.9855655794587093,0.9527187377754597,0.9789223645832362,41343,0.4609002733231744,0.4760177055366084,0.9626869588034637,0.05994256999282125,0.9400574300071788,0.03731304119653634,0.9321138211382114,0.9671790610718737,0.9504873860145611,0.980827012211788
