model,n_features,ml_accuracy,ml_precision,ml_recall,ml_f1,ml_specificity,ml_balanced_accuracy,ml_auc_roc,ml_auc_pr,ml_avg_precision,fairness_spd,fairness_di,fairness_eod,fairness_ped,fairness_aod,fairness_eor,fairness_ppv_diff,fairness_npv_diff,fairness_treatment_equality,fairness_calibration_diff,group_0_n_samples,group_0_base_rate,group_0_positive_rate,group_0_tpr,group_0_fpr,group_0_tnr,group_0_fnr,group_0_ppv,group_0_npv,group_0_accuracy,group_0_auc,group_1_n_samples,group_1_base_rate,group_1_positive_rate,group_1_tpr,group_1_fpr,group_1_tnr,group_1_fnr,group_1_ppv,group_1_npv,group_1_accuracy,group_1_auc
logistic_regression,82,0.849624060150376,0.8839779005524862,0.8040201005025126,0.8421052631578947,0.895,0.8495100502512563,0.9151507537688441,0.918250368123906,0.9185225156846031,0.36513290374546914,2.3094421375699583,0.23641420624732556,0.13057040998217467,0.18349230811475012,0.31701631701631705,0.03223997757218955,-0.017843137254901942,2.25,0.03301103821124624,191,0.643979057591623,0.643979057591623,0.8943089430894309,0.19117647058823528,0.8088235294117647,0.10569105691056911,0.8943089430894309,0.8088235294117647,0.8638743455497382,0.9240793878527022,208,0.36538461538461536,0.27884615384615385,0.6578947368421053,0.06060606060606061,0.9393939393939394,0.34210526315789475,0.8620689655172413,0.8266666666666667,0.8365384615384616,0.882177033492823
random_forest,82,0.8370927318295739,0.8418367346938775,0.8291457286432161,0.8354430379746836,0.845,0.8370728643216081,0.9036180904522612,0.908715843648968,0.9090393828669041,0.37336387434554974,2.194764397905759,0.19191270860077025,0.21078431372549022,0.20134851116313024,0.2833333333333333,0.016559013505578313,-0.0461538461538461,1.4,0.012188650930224428,191,0.643979057591623,0.6858638743455497,0.9024390243902439,0.29411764705882354,0.7058823529411765,0.0975609756097561,0.8473282442748091,0.8,0.8324607329842932,0.9097321855571496,208,0.36538461538461536,0.3125,0.7105263157894737,0.08333333333333333,0.9166666666666666,0.2894736842105263,0.8307692307692308,0.8461538461538461,0.8413461538461539,0.8726076555023924
gradient_boosting,82,0.8295739348370927,0.8579234972677595,0.7889447236180904,0.8219895287958116,0.87,0.8294723618090452,0.8992713567839197,0.9073805235060949,0.9076714878684262,0.3756041079339508,2.3469940422458926,0.23331193838254172,0.18181818181818182,0.20756506010036177,0.2727272727272727,0.019172413793103416,-0.047272727272727244,2.1176470588235294,0.0327396954189544,191,0.643979057591623,0.6544502617801047,0.8780487804878049,0.25,0.75,0.12195121951219512,0.864,0.7727272727272727,0.8324607329842932,0.9061453849832616,208,0.36538461538461536,0.27884615384615385,0.6447368421052632,0.06818181818181818,0.9318181818181818,0.35526315789473684,0.8448275862068966,0.82,0.8269230769230769,0.8642344497607656
