n_features,accuracy,auc,spd,di,eod,aod
2,0.6609848484848485,0.714496280005615,-0.21702858544963807,0.5323817076394396,-0.2384421658571686,0.1867371704446718
3,0.6666666666666666,0.7130349179153634,-0.19298245614035087,0.5567765567765568,-0.2080949811117107,0.160688417196782
5,0.6496212121212122,0.7069141143821787,-0.2246350141086983,0.5397184514831574,-0.2358517719014211,0.1957894638142884
7,0.6571969696969697,0.7112460091497104,-0.23494049809839285,0.5263418253771951,-0.22737902500449725,0.20260843142116755
