n_features,accuracy,auc,spd,di,eod,aod
2,0.9502810962754743,0.9747813249482614,-0.036835857041291276,0.9220940844251021,0.021005123174830276,0.014401230263443688
3,0.9503061941572132,0.9760858870030564,-0.03683396591340388,0.9221020690184738,0.02101698943438579,0.014407163393221446
5,0.9505822708563397,0.9790652655686973,-0.03695530214210574,0.9218094648689316,0.02101698943438579,0.014324028049527256
7,0.9510591306093765,0.9798426417215631,-0.03989219347296763,0.9162683172689801,0.0174876450676823,0.011386717421490108
