n_features,accuracy,auc,spd,di,eod,aod
2,0.6609848484848485,0.714496280005615,-0.21702858544963807,0.5323817076394396,-0.2384421658571686,0.1867371704446718
3,0.665719696969697,0.7122466462459911,-0.2517482517482517,0.5113122171945702,-0.2520777118186724,0.21829110816158845
5,0.6496212121212122,0.7069141143821787,-0.2246350141086983,0.5397184514831574,-0.2358517719014211,0.1957894638142884
7,0.6571969696969697,0.7112460091497104,-0.23494049809839285,0.5263418253771951,-0.22737902500449725,0.20260843142116755
