n_features,accuracy,auc,spd,di,eod,aod
2,0.8145363408521303,0.8828768844221105,0.4459071687474828,2.8186017862642436,0.3366495507060334,0.2924335097558688
3,0.8245614035087719,0.8845351758793969,0.43629178413209824,2.7122394547071025,0.2971758664955071,0.2764845464384844
5,0.8295739348370927,0.8910552763819095,0.42753221908981065,2.560117571415449,0.2871202396234489,0.26388097542669775
7,0.8270676691729323,0.8968090452261306,0.4131091421667338,2.432111692844677,0.25267436884895156,0.25022310242804086
10,0.8320802005012531,0.8988190954773868,0.4126812323801853,2.454876209069128,0.25267436884895156,0.24665804003944905
15,0.8345864661654135,0.9008291457286433,0.38778695126862667,2.3009626752237797,0.21822849807445444,0.21829428468785111
20,0.8295739348370927,0.9017839195979899,0.38735904148207817,2.3208308299716762,0.22325631151048353,0.22080819140586566
30,0.8370927318295739,0.9049497487437187,0.3720801449859042,2.248268873501098,0.21009841677364138,0.1995233616845034
50,0.8395989974937343,0.913316582914573,0.37645992750704793,2.305061082024433,0.24454428754813862,0.20204041471881085
75,0.849624060150376,0.9153266331658291,0.36513290374546914,2.3094421375699583,0.23641420624732556,0.18349230811475012
