n_features,accuracy,auc,spd,di,eod,aod
2,0.6609848484848485,0.714496280005615,-0.21702858544963807,0.5323817076394396,-0.2384421658571686,0.1867371704446718
3,0.6751893939393939,0.7194724698819033,-0.22721138510612196,0.5137831451824626,-0.24196797985249147,0.1931525870948429
5,0.6695075757575758,0.7131429003358253,-0.21690590111642744,0.5277777777777778,-0.21773700305810395,0.18270376536431582
7,0.6571969696969697,0.7112460091497104,-0.23494049809839285,0.5263418253771951,-0.22737902500449725,0.20260843142116755
